member_casual,rideable_type,ride_year,ride_month,day_of_week,hour_of_day,number_of_rides,avg_ride_duration,avg_ride_distance
casual,classic_bike,2022,Aug,Sunday,15,1379,27.037092095721537,2477.95977604663
casual,classic_bike,2022,Aug,Sunday,16,1368,24.72748538011696,2483.003594915845
casual,classic_bike,2022,Aug,Sunday,17,1100,25.208560606060605,2384.2650158223864
casual,classic_bike,2022,Aug,Sunday,18,964,22.724567773167358,2327.695248105116
casual,classic_bike,2022,Aug,Sunday,19,715,21.65927738927739,2037.5841931291695
casual,classic_bike,2022,Aug,Sunday,20,513,24.07482131254061,2147.824655893504
casual,classic_bike,2022,Aug,Sunday,21,448,21.355543154761904,1990.6001477359484
casual,classic_bike,2022,Aug,Sunday,22,269,21.695600991325897,2195.10424712264
casual,classic_bike,2022,Aug,Sunday,23,155,27.28236559139785,1850.1608624565908
casual,classic_bike,2022,Aug,Thursday,0,139,14.417146282973622,1868.64403455874
casual,classic_bike,2022,Aug,Thursday,1,75,24.23,2066.0366028577073
casual,classic_bike,2022,Aug,Thursday,2,40,25.723333333333333,1684.0982867484486
casual,classic_bike,2022,Aug,Thursday,3,30,13.572222222222223,1900.0221309608712
casual,classic_bike,2022,Aug,Thursday,4,22,10.748484848484848,1718.2582158170298
casual,classic_bike,2022,Aug,Thursday,5,49,27.0921768707483,1933.838409715451
casual,classic_bike,2022,Aug,Thursday,6,181,14.673204419889503,1969.6764485663123
casual,classic_bike,2022,Aug,Thursday,7,330,12.998939393939393,1844.4979345750878
casual,classic_bike,2022,Aug,Thursday,8,471,15.11861288039632,2008.70630261531
casual,classic_bike,2022,Aug,Thursday,9,321,22.840134994807894,2388.6371392327683
casual,classic_bike,2022,Aug,Thursday,10,400,24.585875,2471.3294548974377
casual,classic_bike,2022,Aug,Thursday,11,508,25.318175853018374,2407.3980380379585
casual,classic_bike,2022,Aug,Thursday,12,608,23.47439692982456,2372.5903800881065
casual,classic_bike,2022,Aug,Thursday,13,624,26.977938034188035,2217.9658928957915
casual,classic_bike,2022,Aug,Thursday,14,692,28.73032273603083,2472.2918202339006
casual,classic_bike,2022,Aug,Thursday,15,738,23.49435411020777,2405.2032189495367
casual,classic_bike,2022,Aug,Thursday,16,1005,23.30805970149254,2371.6634258243294
casual,classic_bike,2022,Aug,Thursday,17,1672,19.877791068580542,2337.841301906642
casual,classic_bike,2022,Aug,Thursday,18,1673,19.504642359035664,2351.9730230126106
casual,classic_bike,2022,Aug,Thursday,19,1330,19.484887218045113,2212.4709091428485
casual,classic_bike,2022,Aug,Thursday,20,863,19.882580146774817,2049.324208618188
casual,classic_bike,2022,Aug,Thursday,21,681,17.304796867351932,2003.6079667624401
